"","Date","Species","notes","Site","Total_time","nFurSeals"
"209","11-Feb-96","FS","Too many fur seals on beach for a landing. Zodiac tour only.","ASTR","01:05:00",NA
"210","11-Feb-96","WSFS","#FS = 8#WS = 10","MIKK","",8
"211","11-Feb-96","","","GEOR","02:00:00",NA
"212","2/13/1996","ES","#ES = 3Black neck swan.","PLEN","01:39:00",NA
"213","11/23/1996","WSES","#WS = 5#ES = 6","YANK","02:00:00",NA
"214","11/24/1996","WS","#WS (Alice creek) = 2","JOUG","03:00:00",NA
"215","11/25/1996","","","ALMI","00:20:00",NA
"216","11/25/1996","WS","#WS = 7","HYDR","01:30:00",NA
"217","11/26/1996","WS","#WS=1","TELE","00:45:00",NA
"218","11/26/1996","WS","#WS=2","WHAL","00:30:00",NA
"219","11/27/1996","WS","#WS=3","PAUL","05:30:00",NA
"220","11/30/1996","WSES","#WS=3#ES=1","PENG","03:30:00",NA
"221","01-Dec-96","","","EDEN","01:55:00",NA
"222","01-Dec-96","WS","#WS=1","HERO","02:15:00",NA
"223","01-Dec-96","","","PAUL","00:20:00",NA
"224","02-Dec-96","","","BERN","",NA
"225","02-Dec-96","WS","#WS=4","HALF","01:45:00",NA
"226","03-Dec-96","","","BAIL","03:00:00",NA
"227","03-Dec-96","FSES","#FS (""suicide wallow"")=1#ES (shag point) = 1#ES (north beach) = 7#ES (west wallow) = 29","HANN","02:45:00",1
"228","04-Dec-96","","Did not count.","ALMI","00:30:00",NA
"229","04-Dec-96","","","CUVE","01:20:00",NA
"230","04-Dec-96","","","ORNE","00:50:00",NA
"231","04-Dec-96","","","GEOR","01:00:00",NA
"232","05-Dec-96","","","PETE","02:45:00",NA
"233","12/30/1996","FS","#FS =6 (5 of them pups)","BRIT","03:00:00",6
"234","12/31/1996","","","PAUL","03:00:00",NA
"235","09-Jan-97","ES","#ES (beach) =1","PETE","02:30:00",NA
"236","1/29/1997","","","PETE","",NA
"237","1/30/1997","ES","#ES=11","HANN","",NA
"238","08-Feb-97","FSWS","#FS=2#WS=1","PETE","",2
"239","2/16/1997","FS","#FS=2","PETE","",2
"240","2/17/1997","FSES","#FS (west end) =3#ES (west end) =14","AITC","01:45:00",3
"241","2/18/1997","WS","#WS=1","CUVE","02:30:00",NA
"242","2/19/1997","","","PLEN","02:00:00",NA
"243","2/21/1997","FS","","BAIL","02:45:00",NA
"244","2/22/1997","","","DEVI","02:00:00",NA
"245","11/23/1997","","","PETE","02:05:00",NA
"246","11/23/1997","","","WATE","02:30:00",NA
"247","11/24/1997","","","JOUG","02:15:00",NA
"248","11/25/1997","","","AITC","01:50:00",NA
"249","11/26/1997","","","PENG","02:00:00",NA
"250","11/26/1997","ESWS","#ES=23#WS=1","TURR","01:35:00",NA
"251","11/23/1997","","","ALMI","00:20:00",NA
"252","01-Dec-97","WS","#WS=2","PENG","03:45:00",NA
"253","02-Dec-97","","","GOUR","",NA
"254","03-Dec-97","","","BAIL","02:30:00",NA
"255","03-Dec-97","ES","#ES (landing beach) =10#ES (south beach) = 9#ES (below gentoo colony) = 28#ES (fossil beach) = 135#ES (suicide wall) = 0","HANN","03:30:00",NA
"256","04-Dec-97","","","ALMI","00:30:00",NA
"257","04-Dec-97","","","CUVE","01:00:00",NA
"258","04-Dec-97","","","ORNE","01:30:00",NA
"259","04-Dec-97","","","GEOR","01:30:00",NA
"260","05-Dec-97","","","JOUG","01:30:00",NA
"261","11/26/1998","WS","#WS=13","HALF","02:20:00",NA
"262","11/27/1998","","","ORNE","01:25:00",NA
"263","11/27/1998","","","GEOR","01:10:00",NA
"264","11/27/1998","","","WATE","02:15:00",NA
"265","11/28/1998","WS","#WS=3","JOUG","02:00:00",NA
"266","05-Dec-98","","","CUVE","",NA
"267","06-Dec-98","","","ORNE","01:30:00",NA
"268","07-Dec-98","","","BAIL","02:30:00",NA
"269","07-Dec-98","","","HANN","00:30:00",NA
"270","09-Dec-98","","","PENG","02:30:00",NA
"271","12-Jan-99","","","PENG","",NA
"272","1/16/1999","","","VAPO","",NA
"273","1/18/1999","ES","#ES (west end) =39","AITC","",NA
"274","1/19/1999","ES","#ES = 12 seals on the beach, 50 inland.","PENG","04:25:00",NA
"275","1/20/1999","","","BAIL","03:30:00",NA
"276","1/20/1999","","","GOUR","",NA
"277","1/20/1999","ESWS","#WS=1#ES=2","YANK","02:30:00",NA
"278","1/21/1999","","","PAUL","04:00:00",NA
"279","1/22/1999","","","PETE","02:00:00",NA
"280","1/23/1999","","","NEKO","02:45:00",NA
"281","1/24/1999","ESFS","#ES=41#FS=4","AITC","02:20:00",4
"282","11/25/1999","WS","#WS=1","BROW","02:20:00",NA
"283","11/25/1999","WS","#WS=14","PAUL","02:15:00",NA
"284","11/26/1999","","","WHAL","01:00:00",NA
"285","11/26/1999","WSESFS","#WS=19#FS=1#ES=2","YANK","03:45:00",1
"286","11/27/1999","WS","#WS=3","JOUG","03:00:00",NA
"287","11/27/1999","","","ORNE","02:15:00",NA
"288","11/28/1999","ES","#ES=1","PLEN","02:15:00",NA
"289","11/29/1999","","","DANC","01:00:00",NA
"290","12/13/1999","","","AITC","03:25:00",NA
"291","12/13/1999","ESWS","#ES=3#WS=2","FORT","01:55:00",NA
"292","12/13/1999","","","YANK","02:30:00",NA
"293","12/14/1999","WSES","#WS=41#ES=2","PAUL","02:35:00",NA
"294","12/15/1999","","","BROW","01:25:00",NA
"295","12/15/1999","ESWS","","PENG","03:20:00",NA
"296","12/16/1999","","","NEKO","03:30:00",NA
"297","12/16/1999","","","ORNE","02:00:00",NA
"298","12/16/1999","","","PETE","01:50:00",NA
"299","12/18/1999","","","GEOR","00:25:00",NA
"300","12/17/1999","WS","#ws=4","HYDR","02:30:00",NA
"301","12/17/1999","","","JOUG","03:20:00",NA
"302","12/18/1999","WS","","FOYN","02:00:00",NA
"303","12/18/1999","ES","#ES (landing site) = 2#ES (eastern end) = 69#ES (b/t gentoos and shag point) = 45","HANN","03:00:00",NA
"304","12/18/1999","FS","#FS=1","WHAL","02:05:00",1
"305","12/19/1999","","","BAIL","01:50:00",NA
"306","09-Jan-00","ES","","AITC","03:00:00",NA
"307","11-Jan-00","","","DEVI","02:30:00",NA
"308","1/13/2000","","","ALMI","02:00:00",NA
"309","1/13/2000","","","JOUG","02:00:00",NA
"310","1/14/2000","ES","","HANN","02:15:00",NA
"311","1/15/2000","FSWSLS","","WILD","00:30:00",NA
"312","1/17/2000","","","DEVI","02:00:00",NA
"313","1/17/2000","WSES","#WS=2#ES=1 juv.","VIEW","02:00:00",NA
"314","1/18/2000","ESLS","#ES (Big wallow)=58#ES(landing beach)=5#ES(beach below suicide wallow)=6#LS(beach)=1","HANN","02:05:00",NA
"315","1/19/2000","","","JOUG","03:05:00",NA
"316","1/20/2000","","","PETE","02:00:00",NA
"317","1/21/2000","","","HERO","02:40:00",NA
"318","1/21/2000","WS","#WS=1","ORNE","01:45:00",NA
"319","1/21/2000","","","PAUL","02:35:00",NA
"320","1/22/2000","","","HALF","02:00:00",NA
"321","1/23/2000","FS","#FS=1","CUVE","00:43:00",1
"322","1/23/2000","","","JOUG","01:45:00",NA
"323","1/23/2000","","","ORNE","01:22:00",NA
"324","1/24/2000","WS","#WS=1","NEKO","01:35:00",NA
"325","1/24/2000","","","PETE","01:45:00",NA
"326","1/24/2000","","","VERN","01:05:00",NA
"327","1/25/2000","FSES","#FS=2#ES(big wallow below GEPEs)=59","HANN","02:13:00",2
"328","1/25/2000","","","WHAL","01:10:00",NA
"329","10-Dec-00","ES","#ES=2","WILD","01:15:00",NA
"330","11-Dec-00","","","BROW","03:00:00",NA
"331","11-Dec-00","","","PAUL","02:45:00",NA
"332","12-Dec-00","","","WHAL","02:15:00",NA
"333","12/13/2000","","","JOUG","02:30:00",NA
"334","12/13/2000","","","PETE","02:00:00",NA
"335","12/13/2000","","","PLEN","03:45:00",NA
"336","12/14/2000","","","ALMI","03:30:00",NA
"337","12/14/2000","","","ORNE","02:00:00",NA
"338","12/15/2000","","","AITC","03:15:00",NA
"339","12/15/2000","ES","#ES(wallow near GEPE) = 36#ES(far end) = 31#ES(landing) = 13","HANN","02:45:00",NA
"340","12/24/2000","","","AITC","03:00:00",NA
"341","12/24/2000","","","YANK","03:30:00",NA
"342","12/25/2000","","","BROW","02:00:00",NA
"343","12/25/2000","","","PAUL","02:00:00",NA
"344","12/26/2000","WS","","HYDR","02:15:00",NA
"345","12/27/2000","","","JOUG","02:00:00",NA
"346","12/27/2000","WS","","PLEN","02:30:00",NA
"347","12/28/2000","","","STON","01:30:00",NA
"348","12/30/2000","LSES","LP at suicide wallow","HANN","02:00:00",NA
"349","09-Jan-01","","","BROW","03:00:00",NA
"350","09-Jan-01","WS","","PAUL","02:30:00",NA
"351","10-Jan-01","WS","","BALD","03:00:00",NA
"352","10-Jan-01","","","DEVI","02:30:00",NA
"353","11-Jan-01","","","BAIL","02:00:00",NA
"354","11-Jan-01","","","WHAL","01:00:00",NA
"355","12-Jan-01","","","JOUG","02:00:00",NA
"356","12-Jan-01","","","GEOR","01:00:00",NA
"357","1/13/2001","","","BLAI","01:30:00",NA
"358","1/23/2001","","","JOUG","01:45:00",NA
"359","1/14/2001","","","PETE","01:00:00",NA
"360","1/22/2001","ESFS","#ES(landing beach)=10#ES(northwest end)=21#FS(northwest end)=1#ES(stack at NW end)=15","AITC","04:00:00",1
"361","1/23/2001","","","CUVE","00:25:00",NA
"362","1/23/2001","","","ORNE","01:50:00",NA
"363","1/24/2001","","","PCHA","02:40:00",NA
"364","1/24/2001","","","PLEN","03:15:00",NA
"365","1/25/2001","","","BAIL","03:45:00",NA
"366","1/26/2001","","","PAUL","02:00:00",NA
"367","1/27/2001","WS","#WS=1","BURD","00:45:00",NA
"368","01-Feb-01","CSFSES","#CS=1#FS=74#ES=1","FORT","02:00:00",74
"369","02-Feb-01","WS","#WS=1","BROW","02:50:00",NA
"370","02-Feb-01","","","PAUL","02:10:00",NA
"371","03-Feb-01","FSWS","#FS=2#WS=12","MIKK","01:45:00",2
"372","04-Feb-01","","","PCHA","03:05:00",NA
"373","04-Feb-01","","","JOUG","03:15:00",NA
"374","05-Feb-01","","","PYPT","01:30:00",NA
"375","06-Feb-01","FSWSES","#FS=29#WS=1#ES=6","VAPO","02:40:00",29
"376","09-Dec-01","","","WILD","00:45:00",NA
"377","10-Dec-01","","","FALS","01:40:00",NA
"378","10-Dec-01","WS","#WS=2","SNOW","02:00:00",NA
"379","11-Dec-01","","","BROW","03:30:00",NA
"380","11-Dec-01","WSCS","","PAUL","03:45:00",NA
"381","12-Dec-01","","","AITC","03:30:00",NA
"382","12-Dec-01","","","WHAL","",NA
"383","12/13/2001","","","ALMI","00:15:00",NA
"384","12/13/2001","","","CUVE","",NA
"385","12/14/2001","","","DANC","02:30:00",NA
"386","12/14/2001","","","PRIE","",NA
"387","12/15/2001","","","JOUG","03:30:00",NA
"388","12/20/2001","WSES","#WS=1#ES=59","AITC","02:15:00",NA
"389","12/21/2001","WS","#WS=5","PAUL","02:30:00",NA
"390","12/21/2001","","","SNOW","02:25:00",NA
"391","12/22/2001","WS","#WS=2","BROW","02:30:00",NA
"392","12/22/2001","WS","#WS=19","JADE","03:00:00",NA
"393","12/22/2001","","","JONA","",NA
"394","12/23/2001","WS","#WS=19","HYDR","02:17:00",NA
"395","12/23/2001","","","LECO","",NA
"396","12/24/2001","","","ALMI","",NA
"397","12/24/2001","WS","#WS=5","PCHA","01:30:00",NA
"398","12/24/2001","","","ORNE","01:30:00",NA
"399","12/25/2001","WS","#WS=9","JOUG","02:45:00",NA
"400","12/26/2001","WS","#WS=6","MITC","01:40:00",NA
"401","12/30/2001","ESWSFS","#ES=26#WS=3#FS=1","AITC","02:00:00",1
"402","01-Jan-02","","","OBEL","01:15:00",NA
"403","02-Jan-02","WS","#WS=3","BROW","01:40:00",NA
"404","02-Jan-02","","","JADE","01:30:00",NA
"405","02-Jan-02","","","SNOW","03:10:00",NA
"406","03-Jan-02","WS","#WS=3","HYDR","02:00:00",NA
"407","04-Jan-02","WS","#WS=1","CUVE","02:30:00",NA
"408","03-Jan-02","ES","#ES=3","PLEN","02:00:00",NA
"409","05-Jan-02","","","JOUG","02:00:00",NA
"410","06-Jan-02","WS","#WS=2","MITC","01:15:00",NA
"411","06-Jan-02","","","WHAL","02:00:00",NA
"412","11-Jan-02","FS","#FS=1","AITC","03:00:00",1
"413","12-Jan-02","","","DEVI","02:30:00",NA
"414","12-Jan-02","WS","","PERS","02:00:00",NA
"415","1/13/2002","WS","#WS=4","BROW","02:15:00",NA
"416","1/13/2002","WS","#WS=2","SNOW","02:00:00",NA
"417","1/14/2002","","","CUVE","02:00:00",NA
"418","1/15/2002","","","ALMI","00:05:00",NA
"419","1/15/2002","","","PCHA","01:45:00",NA
"420","1/15/2002","","","PLEN","01:45:00",NA
"421","1/16/2002","","","JOUG","02:30:00",NA
"422","1/17/2002","FS","#FS=3","BAIL","02:15:00",3
"423","1/22/2002","FSWSES","#WS=2#FS=6#ES=57","AITC","02:45:00",6
"424","1/24/2002","WS","#WS=2","BROW","02:30:00",NA
"425","1/24/2002","WS","#WS=2","DEVI","02:00:00",NA
"426","1/25/2002","WSFS","#WS=3#FS=1","PAUL","01:30:00",1
"427","1/25/2002","WSFSLS","#WS=23#FS=14#LS=2","TAYH","02:00:00",14
"428","1/27/2002","","","ALMI","01:00:00",NA
"429","1/27/2002","FS","#FS=1","ORNE","01:00:00",1
"430","1/28/2002","","","JOUG","04:45:00",NA
"431","02-Feb-02","","","AITC","03:40:00",NA
"432","03-Feb-02","FSWS","#FS=175#WS=20","PAUL","02:00:00",175
"433","04-Feb-02","WS","#WS=10-20#FS=5","BROW","03:00:00",5
"434","04-Feb-02","FSWSCSLS","FS : 20+ AT L. VIRTUALLY EVERYWHERE!","TAYH","03:15:00",20
"435","06-Feb-02","","","JOUG","02:00:00",NA
"436","07-Feb-02","","","ALMI","00:20:00",NA
"437","07-Feb-02","","","CUVE","03:00:00",NA
"438","07-Feb-02","WSFS","#FS=8#WS=1","ORNE","01:40:00",8
"439","08-Feb-02","FSES","#FS=1#ES=3","PLEN","02:30:00",1
"440","2/15/2002","FS","#FS=2","CUVE","01:30:00",2
"441","2/15/2002","WS","#WS=1","JOUG","01:45:00",NA
"442","2/15/2002","FS","#FS=57","ORNE","01:25:00",57
"443","2/16/2002","","","PETE","02:25:00",NA
"444","2/17/2002","","","ALMI","00:30:00",NA
"445","2/17/2002","","","ENTE","00:30:00",NA
"446","2/18/2002","FS",">100 FS","BAIL","02:45:00",100
"447","2/18/2002","WS","#WS=1","TELE","00:40:00",NA
"448","2/18/2002","","","WHAL","",NA
"449","2/19/2002","","","SNOW","02:30:00",NA
"450","2/19/2002","FSWS","#FS=8#WS=1","PEPO","02:20:00",8
"451","2/20/2002","FSWS","","HILL","02:00:00",NA
"452","2/20/2002","FS","#FS=1900","PAUL","00:05:00",1900
"453","2/20/2002","FSWS","#FS=1500#WS=1","TAYH","02:00:00",1500
"454","2/21/2002","","","WILD","",NA
"455","2/22/2002","ESFS","#ES=3#FS=111","AMPH","02:48:00",111
"456","06-Dec-02","FSLS","","WILD","01:30:00",NA
"457","07-Dec-02","","","GOUR","02:15:00",NA
"458","08-Dec-02","WSES","#ES	at WHALEBONE BEACH = 15#ES	at NW END = 9","AITC","02:15:00",NA
"459","08-Dec-02","","","BAIL","02:30:00",NA
